beer_id|Name|style|abv|brewery_id
15037|Something Red|American Amber / Red Ale|5|2155
66672|Berserker Bock|Bock|6.5|10607
26596|Mildura Desert Premium|American Adjunct Lager|4.5|12319
59505|Manly Men Beer Club El Hefe|Wheatwine|9|378
28314|Honey Wheat|Hefeweizen|4.5|12319
31267|Foonf Zane Auld Ale|Old Ale|7.3|378
27432|Black|Belgian Dark Ale|NA|11269
59913|Maine Logger Lager|American Pale Lager|NA|378
53249|Leafpeeper Lager|Czech Pilsener|NA|378
31622|Special Amber Ale|American Amber / Red Ale|NA|378
73168|New Guy IPA|American IPA|5.8|378
19881|Traffic Jam ESB|Extra Special / Strong Bitter (ESB)|5|2094
77135|Hackney Gold|English Bitter|5.5|27920
55634|Jaroov Sv&#283;tlý Leák (Jarosover Pils)|Czech Pilsener|5.1|7483
24727|Dačický (Kutnohorský Světlý Leák)|Czech Pilsener|6|7483
32524|Traffic Jam Grand Theft Pilsner|German Pilsener|6|2094
62209|Enzensteiner Vetus Specialis Emmer Starkbier|Dortmunder / Export Lager|NA|5773
62219|Enzensteiner Vetus Specialis Imperial Gerste|German Pilsener|NA|5773
27008|Praga|Czech Pilsener|5|12590
57693|Volcanes Del Sur Premium Bock Artesenal Chocolate|Bock|5.5|22619
52439|Indian Summer|American Amber / Red Ale|NA|21012
52440|Cayucos Beach Ale|American Blonde Ale|NA|21012
64956|Grigs Stout|Irish Dry Stout|NA|650
64954|Ghetto Booty Blonde|American Blonde Ale|NA|650
19083|Crossroads German Wheat|Hefeweizen|4.2|650
12319|Dutch Point Porter|American Porter|NA|650
2598|Four Towers IPA|American IPA|6.2|650
9017|Inferno Red Ale|American Amber / Red Ale|NA|650
25460|El Rey Blonde|American Blonde Ale|NA|650
41933|Pioneer Maple Porter|American Porter|5|12912
20532|Traffic Jam Dark Star Wheat|Dunkelweizen|NA|2094
35677|Lumber Lager Red|American Amber / Red Lager|5.5|12912
35676|Alpena Wheat Ale|Witbier|5|12912
35678|Thunder Bay Bock|Bock|6.5|12912
35675|Pewabic Pale Ale|American Pale Ale (APA)|5.2|12912
28249|Gaoler's Ale|Old Ale|7.5|6394
30930|"""Little John's Myth"" Robust Porter"|English Porter|6|6394
27994|Maiden's Magic|English Brown Ale|5|6394
21886|Traffic Jam Winter Warmer|Tripel|7.6|2094
13606|Traffic Jam Cherry Wheat|Fruit / Vegetable Beer|NA|2094
13607|Traffic Jam Out & Out Stout|American Stout|NA|2094
37497|American Wild Ale|American Wild Ale|6.75|2094
20531|Traffic Jam Nitro Amber Ale|American Amber / Red Ale|NA|2094
18688|Traffic Jam Slam Dunkel|Munich Dunkel Lager|5.4|2094
13608|Traffic Jam Rye Beer|Rye Beer|NA|2094
18690|Traffic Jam Festivus Lager|Märzen / Oktoberfest|5.3|2094
28528|Traffic Jam 40th Anniversary Pale Ale|American Pale Ale (APA)|6.25|2094
18692|Traffic Jam Easy Action Wheat|Hefeweizen|5|2094
5542|Traffic Jam Bavarian Oatmeal Stout|Oatmeal Stout|NA|2094
19882|Traffic Jam California Strong Ale|American Strong Ale|9|2094
18691|Traffic Jam Grand Theft Lager|Euro Pale Lager|6|2094
5540|Traffic Jam India Pale Ale|American IPA|NA|2094
27762|Frastanz Keller Bier|Keller Bier / Zwickel Bier|NA|4787
33668|Gold Spezial|Vienna Lager|5.3|4787
34270|Classic Gold|Euro Pale Lager|5.1|4787
75400|Schumacher Latzenbier|Altbier|5.5|2652
35038|Blueberry Ale|American Pale Wheat Ale|4|14502
65637|Solitude (Abbey Ale: Belgian Amber Ale)|Belgian Pale Ale|6.5|24678
32527|Zen IPA|English India Pale Ale (IPA)|NA|14502
34872|Herbal Ale|American Pale Wheat Ale|4|14502
22629|Splügen|Euro Pale Lager|4.5|11068
22630|Poretti Bock 1877 Chiara|Bock|6.3|11068
22631|Poretti Bock 1877 Rossa|Bock|6.3|11068
75855|Poretti Originale Chiara 4 Luppoli|Euro Pale Lager|5.5|11068
22628|Poretti|Euro Pale Lager|5|11068
65517|Triomphe Belgian IPA|Belgian IPA|6.5|24678
71257|Raspberry Rye Porter|Rye Beer|NA|24678
69279|Oak Aged Zaison|Saison / Farmhouse Ale|NA|24678
71402|"Zaison ""Super"" Saison"|Saison / Farmhouse Ale|8.5|24678
73737|Oak Aged Sgt Peppercorn|Rye Beer|6|24678
68948|Solitude|Belgian Dark Ale|6|24678
65535|Kludde Strong Ale|Belgian Strong Dark Ale|9.5|24678
61390|Harrington's East Indies Lager|Euro Pale Lager|5|9771
66491|Vivant Tripel|Tripel|9.25|24678
74583|Angeliah|American Wild Ale|8.5|24678
73684|Amarillo Gold|American Pale Ale (APA)|5.5|24678
74572|Cassandra Rose|Flanders Red Ale|6.5|24678
65876|Contemplation Ale|Bière de Garde|6.5|24678
65520|Sgt.Peppercorn Rye|Rye Beer|6|24678
26449|Black Irish Stout|American Stout|NA|4558
66219|Big Red Coq|American Amber / Red Ale|6.5|24678
65516|Belgian Wit|Witbier|4.5|24678
